book_title,book_author,publisher
The Heart of the Buddha's Path,"H.H. the Dalai Lama, translated by Dr. Thupten Jinpa, edited by Dominique Side & Dr. Thupten Jinpa","['Thorsons, London, 1999']"
The Little Book of Buddhism,"H.H. the Dalai Lama, compiled and edited by Renuka Singh","['Penguin Books, New Delhi, 1999']"
Eight Verses for Training the Mind,H.H. the Dalai Lama,"['Snow Lion Publications, Ithaca, 1999']"
Introduction to Buddhism,H.H. the Dalai Lama,"['Paljor Publications, New Delhi, 1999']"
"Imagine All the People - The Dalai Lama on Money, Politics and Life as it Coud Be",H.H. the Dalai Lama with Fabian Quaki,"['Wisdom Publications, 1999']"
The Power of Buddhism,H.H. the Dalai Lama ahd Jean-Claude Carriere,"['Newleaf, 1999']"
The Art of Happiness,H.H. the Dalai Lama & Howard C. Cutler,"['Riverhead Books, New York, 1998']"
The Four Noble Truths,"H.H. the Dalai Lama, translated by Dr. Thupten Jinpa, edited by Dominique Side & Dr. Thupten Jinpa","['Thorsons, London, 1998']"
The Path to Tranquillity - Daily Meditations,"H.H. the Dalai Lama, compiled and edited by Renuka Singh","['Penguin Books, New Delhi, 1998']"
The Political Philosophy of His Holiness the Dalai Lama - Selected Speeches and Writings,"H.H. the Dalai Lama, edited by A.A. Shiromany","['Tibetan Parliamentary and Policy Research Center, New Delhi, 1998']"
Spiritual Advice for buddhists and Christians,H.H. the Dalai Lama,"['Continuum Publishing, 1998']"
The Gelug/Kagyu Tradition of Mahamudra,H.H. the Dalai Lama & Alexander Berzin,"['Snow Lion Publication, Ithaca, 1997']"
Healing Anger - The Power of Patience from a Buddhist Perspective,"H.H. the Dalai Lama, translated by Dr. Thupten Jinpa","['Snow Lion Publication, Ithaca, 1997']"
The Joy of Living and Dying in Peace,"H.H. the Dalai Lama, edited by John Avedon & Donald S. Lopez","['Harper Collins, 1997']"
"Love, Kindness and Universal Responsibility",H.H. the Dalai Lama,"['Paljor Publications, New Delhi, 1997']"
"Sleeping, Dreaming and Dying","H.H. the Dalai Lama, edited and narrated by Francisco Varela","['Wisdom Publications, Boston, 1997']"
Buddha Nature,H.H. the Dalai Lama,"['Bluestar Communications, 1997']"
Beyond Dogma,H.H. the Dalai Lama,"['Souvenir Press Ltd., London, 1996']"
The Good Heart - A Buddhist Perspective on the Teachings of Jesus,H.H. the Dalai Lama,"['Wisdom Publications, Boston, 1996']"
"Awakening the Mind, Lightening the Heart","H.H. the Dalai Lama, edited by John Avedon & Donald S. Lopez","['Harper Collins, New York, 1995']"
Commentary on the Thirty Seven Practices of a Bodhisattva,"H.H. the Dalai Lama, translated by Acharya Nyima Tsering, edited by Vyvyan Cayley and Mike Gilmore","['Library of Tibetan Works & Archives, Dharamsala, 1995']"
Dialogues on Universal Responsibility and Education,H.H. the Dalai Lama,"['Library of Tibetan Works & Archives, Dharamsala, 1995']"
His Holiness the Dalai Lama Speeches Statements Articles Interviews from 1987 to June 1995,H.H. the Dalai Lama,"['Department of Information and International Relations, Dharamsala, 1995']"
The Path to Enlightenment,"H.H. the Dalai Lama, translated & edited by Glenn H. Mullin","['Snow Lion Publications, Ithaca, 1995']"
The Power of Compassion,H.H. the Dalai Lama,"['Harper Collins, 1995']"
The Spirit of Tibet: Universal Heritage - Selected Speeches and Writings,"H.H. the Dalai Lama, edited by A.A. Shiromany, Tibetan Parliamentary Center","['Tibetan Parliamentary and Policy Research Center, New Delhi, 1995']"
The Way to Freedom,"H.H. the Dalai Lama, edited by John Avedon & Donald S. Lopez","['Harper Collins, 1995']"
The World of Tibetan Buddhism,"H.H. the Dalai Lama, translated, edited and annotated by Dr. Thupten Jinpa","['Wisdom Publications, Boston, 1995']"
A Flash of Lightning in the Dark of Night,H.H. the Dalai Lama,"['Shambala Publications, Boston, 1994']"
Words of Truth,H.H. the Dalai Lama,"['Wisdom Publications, Boston, 1993']"
Generous Wisdom - Commentaries on the Jatakamala,H.H. the Dalai Lama,"['Library of Tibetan Works & Archives, Dharamsala, 1993']"
Worlds in Harmony,H.H. the Dalai Lama with conference participants,"[' Parallax Press, 1992']"
Gentle Bridges - Conversations with the Dalai Lama on the Sciences of the Mind,"H.H. the Dalai Lama, Jeremy Hayward and Francisco Verela","['Shambhala Publications, 1992']"
Cultivating a Daily Meditation,H.H. the Dalai Lama,"['Library of Tibetan Works & Archives, Dharamsala, 1991']"
Mind Science - An East - West Dialogue,"H.H. the Dalai Lama with Herbert Benson, Robert A. Thurman, Howard E. Gardner, Daniel Goleman","['Wisdom Publications, Boston, 1991']"
Path to Bliss,H.H. the Dalai Lama,"['Snow Lion Publications, Ithaca, 1991']"
Freedom in Exile,H.H. the Dalai Lama,"['Harper Collins, New York, 1991']"
The Global Community & the Need for Universal Responsibility,H.H. the Dalai Lama,"['Wisdom Publications, Boston, 1990']"
My Tibet,H.H. the Dalai Lama & Galen Rowell,"['University of California Press, 1990']"
The Nobel Peace Prize and the Dalai Lama,"H.H. the Dalai Lama, compiled & edited by Sidney Piburn","['Snow Lion Publications, Ithaca, 1990']"
Policy of Kindness,"H.H. the Dalai Lama, compiled & edited by Sidney Piburn","['Snow Lion Publications, Ithaca, 1990']"
Ocean Of Wisdom,H.H. the Dalai Lama,"['Clear Light Publications, New Mexico, 1989']"
The Bodhgaya Interviews,"H.H. the Dalai Lama, edited by Jose Ignacio Cabezon","['Snow Lion Publications, Ithaca, 1988']"
The Dalai Lama at Harvard,"H.H. the Dalai Lama, translated and edited by Jeffery Hopkins","['Snow Lion Publications, Ithaca, 1988']"
Transcendent Wisdom,"H.H. the Dalai Lama, translated, edited & annotated by B. Alan Wallace","['Snow Lion Publications, Ithaca, 1988']"
The Union of Bliss & Emptiness,"H.H. the Dalai Lama, translated by Dr. Thupten Jinpa","['Snow Lion Publications, Ithaca, 1988']"
Tantra in Tibet,"H.H. the Dalai Lama, Tshongkhapa and Jeffrey Hopkins","['Snow Lion Publications, Ithaca, 1987']"
Kalachakra Tantra - Rite of Initiation,H.H. the Dalai Lama and Jeffrey Hopkins,"['Wisdom Publication, Boston, 1985']"
